"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","RSSD","CU_TYPE","CU_NAME","CITY","STATE","CharterState","STATE_CODE","ZIP_CODE","COUNTY_CODE","CONG_DIST","SMSA","ATTENTION_OF","STREET","REGION","SE","DISTRICT","YEAR_OPENED","TOM_CODE","LIMITED_INC","ISSUE_DATE","Peer_Group","Quarter_Flag"
119,6/30/2019 0:00:00,62,"7278","1","TRIBORO POSTAL","FLUSHING","NY",,36,"11352-0487",81,14,5600,"","14202 20TH AVE, P.O. BOX 520487","1 ","K",6,1935,"06  ",1,1/1/1935 0:00:00,5,0
120,6/30/2019 0:00:00,63,"72874","1","COUNTY EDUCATORS","Roselle Park","NJ",,34,"07204-1743",39,10,5640,"","16 E Lincoln Ave","1 ","F",8,1935,"34  ",0,1/1/1935 0:00:00,5,0
132,6/30/2019 0:00:00,69,"888879","1","MOUNT VERNON NY POSTAL EMPLOYEES","MOUNT VERNON","NY",,36,"10550",119,16,5600,"","15 SOUTH FIRST AVE","1 ","K",4,1935,"06  ",1,1/1/1935 0:00:00,1,0
135,6/30/2019 0:00:00,70,"9375","1","OMAHA","OMAHA","NE",,31,"68124",55,2,5920,"","3001 S 82ND AVE","3 ","D",4,1935,"00  ",0,3/13/1935 0:00:00,4,0
138,6/30/2019 0:00:00,72,"74971","1","VIGO COUNTY","Terre Haute","IN",,18,"47807-3704",167,8,8320,"","128 S 8th St","2 ","L",4,1935,"00  ",1,4/25/1935 0:00:00,3,0
146,6/30/2019 0:00:00,74,"895372","1","TEL-U-WATT","MINOT","ND",,38,"58702-3070",101,1,9998,"","P. O. BOX 3070","3 ","C",9,1935,"53  ",0,1/1/1935 0:00:00,2,0
147,6/30/2019 0:00:00,75,"894870","1","NORTHERN STS PWR COMPANY EMP","GRAND FORKS","ND",,38,"58201",35,1,2985,"","1206 5TH AVE S","3 ","C",9,1935,"23  ",0,1/1/1935 0:00:00,1,0
150,6/30/2019 0:00:00,77,"75473","1","FEDCHOICE","LANHAM","MD",,24,"20706",33,4,8840,"","10001 WILLOWDALE ROAD","1 ","C",10,1935,"06  ",0,1/1/1935 0:00:00,5,0
151,6/30/2019 0:00:00,78,"897479","1","JUSTICE","Chantilly","VA",,51,"20151",59,10,8840,"DEPT. OF JUSTICE","5175 Parkstone Drive Suite 200","1 ","S",8,1935,"36  ",0,1/1/1935 0:00:00,6,0
153,6/30/2019 0:00:00,80,"11172","1","MERIDEN POSTAL EMPLOYEES","Meriden","CT",,9,"06450",3,1,1160," ","190 Center St","1 ","A",9,1935,"06  ",0,1/1/1935 0:00:00,1,0
159,6/30/2019 0:00:00,83,"899576","1","THREE RIVERS","Fort Wayne","IN",,18,"46801",3,3,2760,"","PO Box 2573","2 ","L",10,1935,"00  ",0,2/28/1935 0:00:00,6,0
162,6/30/2019 0:00:00,85,"78072","1","TREASURY DEPARTMENT","WASHINGTON","DC",,11,"20038",1,0,8840,"TREASURY ANNEX  ROOM 126","PO BOX 27301","1 ","T",4,1935,"36  ",0,1/1/1935 0:00:00,5,0
167,6/30/2019 0:00:00,87,"901376","1","DAKOTALAND","Huron","SD",,46,"57350",5,1,9998,"","2297 Kansas Ave SE, Suite 1","3 ","D",5,1935,"66  ",1,1/1/1935 0:00:00,5,0
168,6/30/2019 0:00:00,88,"13279","1","NORTHERN INDIANA","Merrillville","IN",,18,"46410",89,1,2960,"","8121 Grand Blvd","2 ","L",10,1935,"53  ",1,2/19/1935 0:00:00,3,0
169,6/30/2019 0:00:00,89,"900874","1","GARY FIREFIGHTERS ASSOCIATION","GARY","IN",,18,"46402",89,1,2960,"#1 FIRE STATION","200 E 5TH AVE","2 ","L",3,1935,"06  ",1,3/27/1935 0:00:00,2,0
174,6/30/2019 0:00:00,91,"903473","1","LOUISIANA","Laplace","LA",,22,"70068",95,2,5560,"","805 Robin Street","2 ","I",7,1935,"41  ",1,1/1/1935 0:00:00,5,0
176,6/30/2019 0:00:00,92,"80972","1","SOUTH FLORIDA EDUCATIONAL","MIAMI","FL",,12,"33183-3825",86,27,5000,"","7800 SW 117TH AVE","2 ","A",5,1935,"34  ",1,1/1/1935 0:00:00,6,0
177,6/30/2019 0:00:00,93,"14874","1","PEOPLE'S TRUST","Houston","TX",,48,"77210",201,18,3360,"","PO Box 4511","2 ","E",9,1935,"41  ",0,1/1/1935 0:00:00,5,0
181,6/30/2019 0:00:00,96,"905570","1","PEOPLES NATURAL G GEN OFS EMP","Pittsburgh","PA",,42,"15212",3,14,6280,"","375 N Shore Dr, Suite 600","1 ","O",1,1935,"23  ",0,1/1/1935 0:00:00,2,0
187,6/30/2019 0:00:00,100,"908179","1","FLORIDA A & M UNIVERSITY","TALLAHASSEE","FL",,12,"32301-5524",73,5,8240,"","1610 S MONROE ST","2 ","Q",3,1935,"34  ",1,1/1/1935 0:00:00,3,0
195,6/30/2019 0:00:00,104,"909774","1","NORTHWEST ARKANSAS","FAYETTEVILLE","AR",,5,"72703",143,3,2580,"","1460 NORTH WOOLSEY AVE","2 ","J",5,1935,"00  ",1,1/1/1935 0:00:00,3,0
196,6/30/2019 0:00:00,105,"84073","1","GTE","TAMPA","FL",,12,"33602",57,14,8280,"","711 E HENDERSON AVE","2 ","B",7,1935,"53  ",1,1/1/1935 0:00:00,6,0
198,6/30/2019 0:00:00,107,"85678","1","WHITING REFINERY","Whiting","IN",,18,"46394",89,1,2960,"","1339 119th St","2 ","L",3,1935,"41  ",0,4/1/1935 0:00:00,3,0
199,6/30/2019 0:00:00,108,"19570","1","MEMBERS CHOICE OF CENTRAL TEXAS","WACO","TX",,48,"76702",309,17,8800,"","PO BOX 20248","2 ","N",6,1935,"66  ",1,1/1/1935 0:00:00,5,0
200,6/30/2019 0:00:00,109,"540270","1","A T & T EMPLOYEES PITTSBURGH","Pittsburgh","PA",,42,"15219-4404",3,14,6280,"","635 Grant St","1 ","N",5,1935,"53  ",0,1/1/1935 0:00:00,2,0
205,6/30/2019 0:00:00,112,"542377","1","ALLEGENT COMMUNITY","Pittsburgh","PA",,42,"15222",3,14,6280,"","1001 Liberty Ave, Suite 100","1 ","N",6,1935,"00  ",0,1/1/1935 0:00:00,5,0
216,6/30/2019 0:00:00,116,"544474","1","FEDFINANCIAL","Silver Spring","MD",,24,"20901",31,3,8840,"","11233 Lockwood Drive","1 ","C",3,1935,"06  ",0,1/1/1935 0:00:00,4,0
220,6/30/2019 0:00:00,117,"543972","1","HOPE","Bridgeport","WV",,54,"26330",33,1,9998," ","925 White Oaks Blvd.","1 ","P",5,1935,"23  ",0,4/3/1935 0:00:00,3,0
224,6/30/2019 0:00:00,119,"22972","1","MAGNOLIA","Jackson","MS",,28,"39206",49,2,3560,"","240 Briarwood Dr","2 ","M",1,1935,"00  ",1,1/1/1935 0:00:00,5,0
227,6/30/2019 0:00:00,121,"546571","1","PENTAGON","MCLEAN","VA",,51,"22102",59,11,8840,"","7940 JONES BRANCH DR","8 ","A",22,1935,"35  ",0,3/25/1935 0:00:00,6,0
233,6/30/2019 0:00:00,124,"549170","1","INFIRST","ALEXANDRIA","VA",,51,"22312-1411",59,8,8840,"ROOM 3H41","6462 LITTLE RVER TPKE","1 ","T",9,1935,"36  ",1,1/1/1935 0:00:00,5,0
234,6/30/2019 0:00:00,125,"23474","1","PITTSBURGH FIREFIGHTER'S","PITTSBURGH","PA",,42,"15220",3,14,6280,"119 FEDERAL STREET","P.O. BOX 8577","1 ","O",3,1935,"36  ",1,1/1/1935 0:00:00,4,0
240,6/30/2019 0:00:00,128,"552572","1","GREATER PITTSBURGH POLICE","PITTSBURGH","PA",,42,"15220-4800",3,14,6280,"","1338 CHARTIERS AVE","1 ","O",6,1935,"36  ",1,1/1/1935 0:00:00,4,0
242,6/30/2019 0:00:00,129,"25571","1","GULF COAST COMMUNITY","GULFPORT","MS",,28,"39503",47,4,920,"","12364 HIGHWAY 49","2 ","M",3,1935,"00  ",1,1/1/1935 0:00:00,5,0
256,6/30/2019 0:00:00,136,"28170","1","ENERGY ONE","Tulsa","OK",,40,"74136-1925",143,1,8560,"","6100 S Yale Ave Ste 100","2 ","J",9,1935,"41  ",0,1/1/1935 0:00:00,5,0
258,6/30/2019 0:00:00,137,"27678","1","HOUSTON TEXAS FIRE FIGHTERS","Houston","TX",,48,"77270-0009",201,18,3360," ","PO Box 70009","2 ","E",6,1935,"06  ",0,1/1/1935 0:00:00,5,0
262,6/30/2019 0:00:00,139,"555171","1","EP","WASHINGTON","DC",,11,"20026",1,0,8840,"","P.O. BOX 23393","1 ","T",6,1935,"36  ",1,1/1/1935 0:00:00,4,0
264,6/30/2019 0:00:00,141,"94278","1","HEARTLAND","DAYTON","OH",,39,"45439",113,10,2000,"","3400 OFFICE PARK DR","1 ","G",2,1935,"00  ",1,4/20/1935 0:00:00,5,0
266,6/30/2019 0:00:00,143,"557278","1","LIBRARY OF CONGRESS","WASHINGTON","DC",,11,"20026-3766",1,1,8840,"C/O FEDERAL CREDIT UNION","PO Box 23766","1 ","T",3,1935,"36  ",0,1/1/1935 0:00:00,5,0
274,6/30/2019 0:00:00,149,"562777","1","ABERDEEN","ABERDEEN","SD",,46,"57402",13,1,9998," ","PO BOX 1495","3 ","D",5,1935,"00  ",1,1/1/1935 0:00:00,5,0
275,6/30/2019 0:00:00,150,"96375","1","FIRST CENTURY","SIOUX FALLS","SD",,46,"57118",99,1,7760,"","PO BOX 85310","3 ","D",6,1935,"52  ",0,1/1/1935 0:00:00,3,0
276,6/30/2019 0:00:00,151,"561172","1","MEM","Pittsburgh","PA",,42,"15236",3,18,6280,"COCHRANS MILL ROAD","PO Box 18269","1 ","O",7,1935,"36  ",0,1/1/1935 0:00:00,3,0
277,6/30/2019 0:00:00,152,"560670","1","CLIFTON NJ POSTAL EMPLOYEES","Clifton","NJ",,34,"07015",31,9,875,"","PO Box 2033","1 ","D",7,1935,"06  ",1,1/1/1935 0:00:00,2,0
287,6/30/2019 0:00:00,154,"564874","1","USNE PENITENTIARY EMPLOYEES","LEWISBURG","PA",,42,"17837",119,12,9998,"","30 E COURT","1 ","F",9,1935,"06  ",0,1/1/1935 0:00:00,3,0
288,6/30/2019 0:00:00,155,"31572","1","FARGO VA","FARGO","ND",,38,"58102",17,1,2520,"","2101 N ELM","3 ","C",9,1935,"36  ",1,1/1/1935 0:00:00,3,0
294,6/30/2019 0:00:00,160,"565376","1","CME","COLUMBUS","OH",,39,"43215",49,3,1840,"","150 E MOUND ST","1 ","P",6,1935,"00  ",0,4/25/1935 0:00:00,5,0
303,6/30/2019 0:00:00,166,"35776","1","HERITAGE VALLEY","YORK","PA",,42,"17402-9624",133,10,9280,"","P.O. BOX 3617, 2400 PLEASANT VALLEY","1 ","C",9,1935,"00  ",0,1/1/1935 0:00:00,4,0
306,6/30/2019 0:00:00,168,"570875","1","MADISON COUNTY","Anderson","IN",,18,"46012-4018",95,5,400,"","621 E 8th St","2 ","L",4,1935,"00  ",1,5/1/1935 0:00:00,4,0
319,6/30/2019 0:00:00,173,"572972","1","DEPARTMENT OF THE INTERIOR","Washington","DC",,11,"20240",1,1,8840,"","1849 C ST NW RM B038","1 ","T",9,1935,"36  ",0,1/1/1935 0:00:00,5,0
320,6/30/2019 0:00:00,174,"577678","1","F R B","Washington","DC",,11,"20016",1,1,8840,"","PO Box 9867","1 ","T",4,1935,"06  ",0,1/1/1935 0:00:00,4,0
327,6/30/2019 0:00:00,179,"103974","1","UNION PACIFIC CALIFORNIA EMP","Fullerton","CA",,6,"92832",59,39,5945,"","230 W Wilshire Ave, Suite A","3 ","O",3,1935,"52  ",0,5/13/1935 0:00:00,2,0
339,6/30/2019 0:00:00,182,"581572","1","MUNCIE","MUNCIE","IN",,18,"47304",35,6,5280,"","5400 N WHEELING AVENUE","2 ","L",5,1935,"00  ",1,5/15/1935 0:00:00,3,0
340,6/30/2019 0:00:00,183,"39970","1","JAX","JACKSONVILLE","FL",,12,"32232",31,5,3600,"","PO BOX 2357","2 ","B",7,1935,"00  ",1,1/1/1935 0:00:00,5,0
345,6/30/2019 0:00:00,185,"104476","1","EAST OHIO GAS YN DIV EMP","Youngstown","OH",,39,"44502",99,13,9320," ","1165 W Rayen Ave","1 ","N",9,1935,"23  ",0,5/20/1935 0:00:00,2,0
352,6/30/2019 0:00:00,188,"582074","1","TAMPA BAY","TAMPA","FL",,12,"33673",57,14,8280,"","PO BOX 7492","2 ","B",10,1935,"36  ",1,1/1/1935 0:00:00,5,0
359,6/30/2019 0:00:00,192,"107075","1","POWERCO","ATLANTA","GA",,13,"30308",121,5,520,"","241 RALPH MCGILL BLVD, NE","2 ","D",5,1935,"53  ",0,1/1/1935 0:00:00,5,0
361,6/30/2019 0:00:00,193,"584171","1","S. C. TELCO","GREENVILLE","SC",,45,"29603",45,4,3160,"","PO BOX 10708","2 ","F",2,1935,"53  ",1,1/1/1935 0:00:00,5,0
365,6/30/2019 0:00:00,197,"586278","1","GEORGIA POWER NORTHWEST","ROME","GA",,13,"30161-5231",115,14,9998,"","906 N BROAD ST SE","2 ","F",4,1935,"53  ",1,1/1/1935 0:00:00,4,0
367,6/30/2019 0:00:00,199,"44376","1","PEPCO","WASHINGTON","DC",,11,"20001",1,1,8840,"","701 NINTH STREET NW SUITE 6230","1 ","T",3,1935,"53  ",1,1/1/1935 0:00:00,3,0
370,6/30/2019 0:00:00,201,"43874","1","PPG & ASSOCIATES","CREIGHTON","PA",,42,"15030-1066",3,14,6280,"","101 BAILIES RUN RD","1 ","O",3,1935,"49  ",1,1/1/1935 0:00:00,3,0
373,6/30/2019 0:00:00,203,"45971","1","NEW ALLIANCE","AMBRIDGE","PA",,42,"15003",7,12,6280,"","835 MERCHANT ST","1 ","O",1,1935,"00  ",1,1/1/1935 0:00:00,4,0
376,6/30/2019 0:00:00,206,"110477","1","REGIONAL MEMBERS","COLUMBUS","GA",,13,"31908",215,2,1800,"","P O BOX 9304","2 ","D",2,1935,"52  ",0,1/1/1935 0:00:00,2,0
378,6/30/2019 0:00:00,208,"913678","1","FLORIDA CUSTOMS","TAMPA","FL",,12,"33605-3769",57,14,8280,"","1624 E 7TH AVE STE 102","2 ","B",10,1935,"06  ",0,1/1/1935 0:00:00,2,0
383,6/30/2019 0:00:00,211,"726878","1","ON THE GRID FINANCIAL","ATLANTA","GA",,13,"30328-7173",121,6,520,"","5901 PEACHTREE DUNWOODY RD STE A275","2 ","F",7,1935,"23  ",1,1/1/1935 0:00:00,3,0
389,6/30/2019 0:00:00,214,"173173","1","CINCINNATI OHIO POLICE","CINCINNATI","OH",,39,"45203",61,1,1640,"","959 W 8TH ST","1 ","G",5,1935,"06  ",0,6/17/1935 0:00:00,5,0
390,6/30/2019 0:00:00,215,"727370","1","ELLIOTT COMMUNITY","JEANNETTE","PA",,42,"15644",129,18,6280,"","920 NORTH FOURTH STREET","1 ","O",8,1935,"00  ",0,1/1/1935 0:00:00,3,0
395,6/30/2019 0:00:00,217,"915775","1","FIREFIGHTERS & COMPANY","DAYTON","OH",,39,"45402-2845",113,10,2000,"","338 S PATTERSON BLVD","1 ","G",5,1935,"00  ",1,6/17/1935 0:00:00,4,0
404,6/30/2019 0:00:00,222,"48570","1","GREATER NEW ORLEANS","Metairie","LA",,22,"70009",51,1,5560,"","PO Box 6708","2 ","I",1,1935,"53  ",1,1/1/1935 0:00:00,5,0
422,6/30/2019 0:00:00,229,"918374","1","PITTSBURGH","Pittsburgh","PA",,42,"15210",3,14,6280,"","317 Brownsville Road","1 ","O",4,1935,"54  ",1,1/1/1935 0:00:00,2,0
430,6/30/2019 0:00:00,232,"114671","1","DEEPWATER INDUSTRIES","DEEPWATER","NJ",,34,"08023",33,2,9160,"","PO BOX 42","1 ","I",1,1935,"40  ",1,1/1/1935 0:00:00,4,0
434,6/30/2019 0:00:00,234,"664671","1","EAST OHIO GAS CLEV OPER EMP","CLEVELAND","OH",,39,"44103-1028",35,11,1680,"","1201 E 55TH ST","1 ","H",2,1935,"23  ",0,1/1/1935 0:00:00,1,0
435,6/30/2019 0:00:00,235,"730772","1","STATE DEPARTMENT","ALEXANDRIA","VA",,51,"22314-2763",510,8,8840,"","1630 KING STREET","1 ","F",1,1935,"36  ",1,1/1/1935 0:00:00,6,0
444,6/30/2019 0:00:00,239,"967774","1","SCA","NEW CASTLE","PA",,42,"16101",73,3,9998,"FIRST FEDERAL PLAZA","2656 ELLWOOD RD UNIT 1","1 ","N",7,1935,"49  ",1,1/1/1935 0:00:00,3,0
452,6/30/2019 0:00:00,240,"921776","1","SKYLINE FINANCIAL","Waterbury","CT",,9,"06705",9,5,8880,"","3528 E Main St","1 ","A",1,1935,"53  ",0,1/1/1935 0:00:00,3,0
464,6/30/2019 0:00:00,246,"116778","1","EAGLE ONE","CLAYMONT","DE",,10,"19703",3,1,6160,"","3301 PHILADELPHIA PIKE","1 ","E",8,1935,"36  ",1,1/1/1935 0:00:00,4,0
473,6/30/2019 0:00:00,252,"117270","1","RIVERTRUST","PEARL","MS",,28,"39288",121,3,3560,"","PO BOX 97997","2 ","M",9,1935,"53  ",1,1/1/1935 0:00:00,5,0
475,6/30/2019 0:00:00,253,"924375","1","INTEGRITY","BARBERTON","OH",,39,"44203",153,13,80,"","971 WOOSTER RD W","1 ","H",9,1935,"00  ",1,6/26/1935 0:00:00,3,0
477,6/30/2019 0:00:00,255,"179474","1","THE ATLANTIC","KENILWORTH","NJ",,34,"07033-1761",39,7,5640,"","37 MARKET ST","1 ","D",8,1935,"00  ",0,1/1/1935 0:00:00,5,0
479,6/30/2019 0:00:00,256,"732879","1","PARKVIEW COMMUNITY","MCKEESPORT","PA",,42,"15132",3,14,6280,"","2100 EDEN PARK BLVD","1 ","O",1,1935,"00  ",1,1/1/1935 0:00:00,3,0
484,6/30/2019 0:00:00,257,"925970","1","LYNN FIREMENS","LYNN","MA",,25,"01904",9,6,1120,"","30 BOSTON ST STE 9","1 ","U",5,1935,"06  ",1,1/1/1935 0:00:00,3,0
489,6/30/2019 0:00:00,259,"969871","1","PRIMETRUST FINANCIAL","MUNCIE","IN",,18,"47304",35,6,5280,"","3700 W BETHEL AVE","2 ","L",6,1935,"00  ",1,7/30/1935 0:00:00,5,0
490,6/30/2019 0:00:00,260,"926472","1","RAILS WEST","POCATELLO","ID",,16,"83204-1450",5,2,9998,"","PO BOX 1450","3 ","H",5,1935,"52  ",1,1/1/1935 0:00:00,4,0
491,6/30/2019 0:00:00,261,"598570","1","MOBILOIL","BEAUMONT","TX",,48,"77726",245,14,840,"","P.O. BOX 12849","2 ","E",4,1935,"66  ",1,1/1/1935 0:00:00,6,0
511,6/30/2019 0:00:00,271,"971678","1","BFG","AKRON","OH",,39,"44311-1056",153,11,80,"","445 SOUTH MAIN ST","1 ","O",2,1935,"00  ",0,8/9/1935 0:00:00,5,0
514,6/30/2019 0:00:00,272,"671174","1","BEN E KEITH COMPANY EMPLOYEES","Fort Worth","TX",,48,"76113",439,12,2800," ","PO Box 2628","2 ","C",2,1935,"20  ",0,1/1/1935 0:00:00,3,0
515,6/30/2019 0:00:00,273,"600370","1","NORTHAMPTON V.A.F.","Leeds","MA",,25,"01053",15,2,9240,"","421 North Main Street","1 ","A",6,1935,"21  ",0,1/1/1935 0:00:00,2,0
517,6/30/2019 0:00:00,274,"119377","1","SEI","POCATELLO","ID",,16,"83204",5,2,9998,"","PO BOX 1466","3 ","H",4,1935,"35  ",1,1/1/1935 0:00:00,3,0
524,6/30/2019 0:00:00,276,"972170","1","BOSTON CUSTOMS","Boston","MA",,25,"02222",25,8,1120," ","10 Causeway Street, Room 436","1 ","B",7,1935,"06  ",0,1/1/1935 0:00:00,2,0
528,6/30/2019 0:00:00,277,"734976","1","UTAH FIRST","SALT LAKE CITY","UT",,49,"84111",35,2,7160,"","200 E SOUTH TEMPLE","3 ","H",4,1935,"98  ",1,1/1/1935 0:00:00,5,0
538,6/30/2019 0:00:00,282,"931971","1","GOVERNMENT PRINTING OFFICE","Washington","DC",,11,"20013",1,1,8840,"","P.O. Box 77119","1 ","T",4,1935,"36  ",1,1/1/1935 0:00:00,3,0
552,6/30/2019 0:00:00,284,"672779","1","DILLONVALE","DILLONVALE","OH",,39,"43917",81,6,8080,"","PO BOX 685","1 ","G",2,1935,"03  ",1,8/26/1935 0:00:00,1,0
560,6/30/2019 0:00:00,288,"673271","1","JUDD`S","Gaithersburg","MD",,24,"20898",31,6,8840,"","16501 Shady Grove Rd","1 ","C",8,1935,"43  ",0,1/1/1935 0:00:00,1,0
566,6/30/2019 0:00:00,290,"973775","1","NUVISION","HUNTINGTON BEAC","CA",,6,"92647",59,48,4480,"","7812 EDINGER AVE","3 ","O",6,1935,"44  ",0,9/5/1935 0:00:00,6,0
567,6/30/2019 0:00:00,291,"934570","1","AMBRAW","LAWRENCEVILLE","IL",,17,"62439",101,15,9998,"","PO BOX 119","3 ","B",3,1935,"00  ",1,9/5/1935 0:00:00,3,0
577,6/30/2019 0:00:00,293,"737575","1","MEMBER PREFERRED","Fort Worth","TX",,48,"76131-1051",439,12,2800," ","340 S Blue Mound Rd Ste 342","2 ","N",4,1935,"52  ",0,1/1/1935 0:00:00,3,0
