"Account","AcctName","AcctDesc","TableName","Annualize","CBSAccount","FPRAccount","STATAcctMain","STATAcctState","STATAcctGraph","STATAcctTable8"
"Acct_020G3","Dollar Amount of Member Commercial Loans Secured by Real Estate Delinquent 30 to 59 days","Dollar Amount of Member Commercial Loans Secured by Real Estate Delinquent 30 to 59 days","FS220L",0,0,0,0,0,0,0
"Acct_020G4","Dollar Amount of Member Commercial Loans NOT Secured by Real Estate Delinquent 30 to 59 days","Dollar Amount of Member Commercial Loans NOT Secured by Real Estate Delinquent 30 to 59 days","FS220L",0,0,0,0,0,0,0
"Acct_020H","Amount of Delinquent Agriculture Loans - 1 month to less than 2 months delinquent","Amount of Delinquent Agriculture Loans - 1 month to less than 2 months delinquent.","FS220C",0,0,0,0,0,0,0
"Acct_020H1","Dollar Amount of Agricultural Loans  30 to 59 days Delinquent","Dollar Amount of Agricultural Loans  30 to 59 days Delinquent","FS220L",0,0,0,0,0,0,0
"Acct_020I","Amount of Interest Only and Payment Option 1st Mortgage Loans - 1 month to less than 2 months delinquent.","Amount of Interest Only and Payment Option 1st Mortgage Loans - 1 month to less than 2 months delinquent.","FS220B",0,0,0,0,0,0,0
"Acct_020J","Amount of Modified 1st Mortgage Real Estate Loans  - 1 month to less than 2 months delinquent","Amount of Delinquent Modified 1st Mortgage Real Estate Loans - 1 month to less than 2 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_020K","Amount of Modified Other Real Estate Loans/Lines of Credit  - 1 month to less than 2 months delinquent","Amount of Delinquent Modified Other Real Estate Loans/Lines of Credit - 1 month to less than 2 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_020L","Amount of Modified Business Loans also reported as Real Estate Loans  - 1 month to less than 2 months delinquent","Amount of Delinquent Modified Real Estate Loans also reported as business loans - 1 month to less than 2 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_020M","Amount of Delinquent Interest Only & Payment Option Other RE/LOCs Loans (1 to <2 Months)","Amount of Interest Only & Payment Option Other RE/LOCs Loans- less than 2 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_020N","Amount of Delinquent Residential Construction Loans – Excluding Business Purpose (1 to <2 Months)","Amount of Residential Construction- excluding Business Purposes & Development- less than 2 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_020N1","Dollar Amount of Residential Construction Loans excluding Commercial Purposes & Development 30 to 59 days delinquent","Dollar Amount of Residential Construction Loans excluding Commercial Purposes & Development 30 to 59 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_020P","Amount of Delinquent Nonmember Business Loans (1 to <2 Months)","Amount of Nonmember Business Loans- less than 2 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_020P1","Amount of Nonmember Business Secured By Real Estate Delinquent 30 to 59 days","Amount of Nonmember Business Secured By Real Estate Delinquent 30 to 59 days","FS220I",0,0,0,0,0,0,0
"Acct_020P2","Amount of Nonmember Business NOT Secured By Real Estate Delinquent 30 to 59 Days","Amount of Nonmember Business NOT Secured By Real Estate Delinquent 30 to 59 Days","FS220I",0,0,0,0,0,0,0
"Acct_020P3","Dollar Amount of Nonmember Commercial Secured By Real Estate Delinquent 30 to 59 days","Dollar Amount of Nonmember Commercial Secured By Real Estate Delinquent 30 to 59 days","FS220L",0,0,0,0,0,0,0
"Acct_020P4","Dollar Amount of Nonmember Commercial NOT Secured By Real Estate Delinquent 30 to 59 Days","Dollar Amount of Nonmember Commercial NOT Secured By Real Estate Delinquent 30 to 59 Days","FS220L",0,0,0,0,0,0,0
"Acct_020Q","Amount of Delinquent Bus. Const & Dev. Loans (1 to <2 Months)","Amount of Business Construction & Development Loans- less than 2 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_020Q1","Dollar Amount of Commercial Construction & Development Loans 30 to 59 days delinquent","Dollar Amount of Commercial Construction & Development Loans 30 to 59 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_020R","Amount of Modified Consumer Loans NOT Secured by Real Estate Loans  - 1 month to less than 2 months delinquent","Amount of Modifed Consumer Loans NOT Secured by Real Estate 1 month to less than 2 months delinquent","FS220H",0,0,0,0,0,0,0
"Acct_020S","Amount of Modified Business Loans NOT Secured by Real Estate Loans  - 1 month to less than 2 months delinquent","Amount of Modified Business Loans NOT Secured by Real Estate 1 month to less than 2 months delinquent","FS220H",0,0,0,0,0,0,0
"Acct_020T","Amount of Non-Federally Guaranteed Student Loans - 1 to <2 months ","Amount of Non-Federally Guaranteed Student Loans - 1 to <2 months ","FS220H",0,0,0,0,0,0,0
"Acct_020U","Amount of TDR Loans secured by First Mortgages 1 to < 2 months delinquent","Amount of TDR Loans secured by First Mortgages 1 to < 2 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_020V","Amount of TDR Loans secured by Other RE LOCs 1 to < 2 months delinquent","Amount of TDR Loans secured by Other RE LOCs 1 to < 2 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_020W","Amount of TDR RE Loans also reported as business loans 1 to < 2 months delinquent","Amount of TDR RE Loans also reported as business loans  1 to < 2 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_020W1","Dollar Amount of TDR RE Loans also reported as commercial loans 30 to 59 days delinquent","Dollar Amount of TDR RE Loans also reported as commercial loans 30 to 59 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_020X","Amount of TDR Consumer Loans not secured by real estate 1 to < 2 months delinquent","Amount of TDR Consumer Loans not secured by real estate  1 to < 2 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_020Y","Amount of TDR Business Loans not secured by real estate 1 to < 2 months delinquent","Amount of TDR Business Loans not secured by real estate  1 to < 2 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_020Y1","Dollar Amount of TDR Commercial Loans not secured by real estate 30 to 59 days delinquent","Dollar Amount of TDR Commercial Loans not secured by real estate 30 to 59 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_021A","Number of All Deliquent Loans (Including Credit Cards) and Leases as of - 2 to less than 6 months delinquent","Report the number of delinquent loans by categories.","FS220A",0,0,0,1,0,0,0
"Acct_021B","Amount of All Deliquent Loans (Including Credit Cards) and Leases as of - 2 to less than 6 months delinquent","Report the dollar amount of delinquent loans by categories.","FS220",0,1,0,1,0,0,0
"Acct_021C","Amount of All Other Delinquent Loans and Leases - 2 to less than 6 months delinquent","Amount of All Other Delinquent Loans and Leases  - 2 to less than 6 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_021C1","Amount of New Vehicle Loans Delinquent 60 to 179 days","Amount of New Vehicle Loans Delinquent 60 to 179 days","FS220I",0,0,0,0,0,0,0
"Acct_021C2","Amount of Used Vehicle Loans Delinquent 60 to 179 days","Amount of Used Vehicle Loans Delinquent 60 to 179 days","FS220I",0,0,0,0,0,0,0
"Acct_021D","Amount of Delinquent Leases Receivables - 2 to less than 6 months delinquent","Amount of Delinquent Leases Receivables - 2 to less than 6 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_021E","Amount of Delinquent Indirect Loans - 2 to less than 6 months delinquent","Amount of Delinquent Indirect Loans - 2 to less than 6 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_021F","Amount of Deliquent Participation Loans - 2 to less than 6 months delinquent","Amount of Delinquent Participation Loans - 2 to less than 6 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_021G","Amount of Delinquent Member Business Loans excluding Agriculture Loans - 2 to less than 6 months delinquent","Amount of Delinquent Member Business Loans excluding Agriculture Loans - 2 to less than 6 months delinquent.","FS220C",0,0,0,0,0,0,0
"Acct_021G1","Amount of Member Business Loans Secured by Real Estate Delinquent 60 to 179 Days","Amount of Member Business Loans Secured by Real Estate Delinquent 60 to 179 Days","FS220I",0,0,0,0,0,0,0
"Acct_021G2","Amount of Member Business Loans NOT Secured by Real Estate Delinquent 60 to 179 days","Amount of Member Business Loans NOT Secured by Real Estate Delinquent 60 to 179 days","FS220I",0,0,0,0,0,0,0
"Acct_021G3","Dollar Amount of Member Commercial Loans Secured by Real Estate Delinquent 60 to 179 Days","Dollar Amount of Member Commercial Loans Secured by Real Estate Delinquent 60 to 179 Days","FS220L",0,0,0,0,0,0,0
"Acct_021G4","Dollar Amount of Member Commercial Loans NOT Secured by Real Estate Delinquent 60 to 179 days","Dollar Amount of Member Commercial Loans NOT Secured by Real Estate Delinquent 60 to 179 days","FS220L",0,0,0,0,0,0,0
"Acct_021H","Amount of Delinquent Agriculture Loans - 2 to less than 6 months delinquent","Amount of Delinquent Agriculture Loans - 2 to less than 6 months delinquent.","FS220C",0,0,0,0,0,0,0
"Acct_021H1","Dollar Amount of  Agricultural Loans 60 to 179 days Delinquent","Dollar Amount of  Agricultural Loans 60 to 179 days Delinquent","FS220L",0,0,0,0,0,0,0
"Acct_021I","Amount of Interest Only and Payment Option 1st Mortgage Loans - 2 months to less than 6 months delinquent","Amount of Interest Only and Payment Option 1st Mortgage Loans - 2 months to less than 6 months delinquent","FS220B",0,0,0,0,0,0,0
"Acct_021J","Amount of Modified 1st Mortgage Real Estate Loans - 2 months to less than 6 months delinquent","Amount of Delinquent Modified 1st Mortgage Real Estate Loans - 2 to less than 6 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_021K","Amount of Modified Other Real Estate Loans/Lines of Credit - 2 months to less than 6 months delinquent","Amount of Delinquent Modified Other Real Estate Loans/Lines of Credit - 2 to less than 6 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_021L","Amount of Modified Business Loans also Reported as Real Estate Loans - 2 months to less than 6 months delinquent","Amount of Delinquent Modified Real Estate Loans also reported as business loans - 2 to less than 6 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_021M","Amount of Delinquent Interest Only & Payment Option Other RE/LOCs Loans (2 to <6 Months)","Amount of Interest Only & Payment Option Other RE/LOCs Loans- 2-6 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_021N","Amount of Delinquent Residential Construction Loans Excluding Business Purpose (2 to <6 Months)","Amount of Residential Construction- excluding Business Purposes- 2-6 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_021N1","Dollar Amount of Residential Construction excluding Commercial Purposes 60 to 179 days delinquent","Dollar Amount of Residential Construction excluding Commercial Purposes 60 to 179 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_021P","Amount of Delinquent Nonmember Business Loans (2 to <6 Months)","Amount of Nonmember Business Loans- 2-6 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_021P1","Amount of Nonmember Business Secured By Real Estate Delinquent 60 to 179 days","Amount of Nonmember Business Secured By Real Estate Delinquent 60 to 179 days","FS220I",0,0,0,0,0,0,0
"Acct_021P2","Amount of Nonmember Business NOT Secured By Real Estate Delinquent 60 to 179 days","Amount of Nonmember Business NOT Secured By Real Estate Delinquent 60 to 179 days","FS220I",0,0,0,0,0,0,0
"Acct_021P3","Dollar Amount of Nonmember Commercial Secured By Real Estate Delinquent 60 to 179 days","Dollar Amount of Nonmember Commercial Secured By Real Estate Delinquent 60 to 179 days","FS220L",0,0,0,0,0,0,0
"Acct_021P4","Dollar Amount of Nonmember Commercial NOT Secured By Real Estate Delinquent 60 to 179 days","Dollar Amount of Nonmember Commercial NOT Secured By Real Estate Delinquent 60 to 179 days","FS220L",0,0,0,0,0,0,0
"Acct_021Q","Amount of Delinquent Bus. Const & Dev. Loans (2 to <6 Months)","Amount of Business Construction & Development Loans- 2-6 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_021Q1","Dollar Amount of Commercial Construction & Development Loans 60 to 179 days delinquent","Dollar Amount of Commercial Construction & Development Loans 60 to 179 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_021R","Amount of Modified Consumer Loans NOT Secured by Real Estate Loans  - 2 month to less than 6 months delinquent","Amount of Modifed Consumer Loans NOT Secured by Real Estate 2 months to less than 6 months delinquent","FS220H",0,0,0,0,0,0,0
"Acct_021S","Amount of Modified Business Loans NOT Secured by Real Estate Loans  - 2 month to less than 6 months delinquent","Amount of Modified Business Loans NOT Secured by Real Estate 2 months to less than 6 months delinquent","FS220H",0,0,0,0,0,0,0
"Acct_021T","Amount of Non-Federally Guaranteed Student Loans - 2 to <6 months ","Amount of Non-Federally Guaranteed Student Loans - 2 to <6 months ","FS220H",0,0,0,0,0,0,0
"Acct_021U","Amount of TDR Loans secured by First Mortgages 2 to < 6 months delinquent","Amount of TDR Loans secured by First Mortgages 2 to < 6 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_021V","Amount of TDR Loans secured by Other RE LOCs 2 to < 6 months delinquent","Amount of TDR Loans secured by Other RE LOCs 2 to < 6 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_021W","Amount of TDR RE Loans also reported as business loans 2 to < 6 months delinquent","Amount of TDR RE Loans also reported as business loans 2 to < 6 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_021W1","Dollar Amount of TDR RE Loans also reported as commercial loans 60 to 179 days delinquent","Dollar Amount of TDR RE Loans also reported as commercial loans 60 to 179 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_021X","Amount of TDR Consumer Loans not secured by real estate 2 to < 6 months delinquent","Amount of TDR Consumer Loans not secured by real estate 2 to < 6 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_021Y","Amount of TDR Business Loans not secured by real estate 2 to < 6 months delinquent","Amount of TDR Business Loans not secured by real estate 2 to < 6 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_021Y1","Dollar Amount of TDR Commercial Loans not secured by real estate 60 to 179 days delinquent","Dollar Amount of TDR Commercial Loans not secured by real estate 60 to 179 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_022A","Number of All Deliquent Loans (Including Credit Cards) and Leases as of - 6 to less than 12 months delinquent","Report the number of delinquent loans by categories.","FS220A",0,0,0,1,0,0,0
"Acct_022B","Amount of All Deliquent Loans (Including Credit Cards) and Leases as of - 6 to less than 12 months delinquent","Report the dollar amount of delinquent loans by categories.","FS220",0,1,0,1,0,0,0
"Acct_022C","Amount of All Other Delinquent Loans and Leases - 6 to less than 12 months delinquent","Amount of All Other Delinquent Loans and Leases  - 6 to less than 12 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_022C1","Amount of New Vehicle Loans Delinquent 180 to 359 days","Amount of New Vehicle Loans Delinquent 180 to 359 days","FS220I",0,0,0,0,0,0,0
"Acct_022C2","Amount of Used Vehicle Loans Delinquent 180 to 359 days","Amount of Used Vehicle Loans Delinquent 180 to 359 days","FS220I",0,0,0,0,0,0,0
"Acct_022D","Amount of Delinquent Leases Receivables - 6 to less than 12 months delinquent","Amount of Delinquent Leases Receivables - 6 to less than 12 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_022E","Amount of Delinquent Indirect Loans - 6 to less than 12 months delinquent","Amount of Delinquent Indirect Loans - 6 to less than 12 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_022F","Amount of Deliquent Participation Loans - 6 to less than 12 months delinquent","Amount of Delinquent Participation Loans - 6 to less than 12 months delinquent.","FS220A",0,0,0,0,0,0,0
"Acct_022G","Amount of Delinquent Member Business Loans excluding Agriculture Loans - 6 to less than 12 months delinquent","Amount of Delinquent Member Business Loans excluding Agriculture Loans - 6 to less than 12 months delinquent.","FS220C",0,0,0,0,0,0,0
"Acct_022G1","Amount of Member Business Loans Secured by Real Estate Delinquent 180 to 359 days","Amount of Member Business Loans Secured by Real Estate Delinquent 180 to 359 days","FS220I",0,0,0,0,0,0,0
"Acct_022G2","Amount of Member Business Loans NOT Secured by Real Estate Delinquent 180 to 359 days","Amount of Member Business Loans NOT Secured by Real Estate Delinquent 180 to 359 days","FS220I",0,0,0,0,0,0,0
"Acct_022G3","Dollar Amount of Member Commercial Loans Secured by Real Estate Delinquent 180 to 359 days","Dollar Amount of Member Commercial Loans Secured by Real Estate Delinquent 180 to 359 days","FS220L",0,0,0,0,0,0,0
"Acct_022G4","Dollar Amount of Member Commercial Loans NOT Secured by Real Estate Delinquent 180 to 359 days","Dollar Amount of Member Commercial Loans NOT Secured by Real Estate Delinquent 180 to 359 days","FS220L",0,0,0,0,0,0,0
"Acct_022H","Amount of Deliquent Agriculture Loans - 6 to less than 12 months delinquent","Amount of Delinquent Agriculture Loans - 6 to less than 12 months delinquent.","FS220C",0,0,0,0,0,0,0
"Acct_022H1","Dollar Amount of  Agricultural Loans 180 to 359 days Delinquent","Dollar Amount of  Agricultural Loans 180 to 359 days Delinquent","FS220L",0,0,0,0,0,0,0
"Acct_022I","Amount of Interest Only and Payment Option 1st Mortgage Loans - 6 months to less than 12 months delinquent.","Amount of Interest Only and Payment Option 1st Mortgage Loans - 6 months to less than 12 months delinquent.","FS220B",0,0,0,0,0,0,0
"Acct_022J","Amount of Modified 1st Mortgage Real Estate Loans  - 6 months to less than 12 months delinquent","Amount of Delinquent Modified 1st Mortgage Real Estate Loans - 6 to less than 12 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_022K","Amount of Modified Other Real Estate Loans/Lines of Credit  - 6 months to less than 12 months delinquent","Amount of Delinquent Modified Other Real Estate Loans/Lines of Credit - 6 to less than 12 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_022L","Amount of Modified Business Loans also Reported as Real Estate Loans  - 6 months to less than 12 months delinquent","Amount of Delinquent Modified Real Estate Loans also reported as business loans - 6 to less than 12 months delinquent","FS220",0,0,0,0,0,0,0
"Acct_022M","Amount of Delinquent Interest Only & Payment Option Other RE/LOCs Loans (6 to <12 Months)","Amount of Interest Only & Payment Option Other RE/LOCs Loans- 6-12 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_022N","Amount of Delinquent Residential Construction Loans Excluding Business Purpose (6 to <12 Months)","Amount of Residential Construction- excluding Business Purposes- 6-12 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_022N1","Dollar Amount of Residential Construction excluding Commercial Purposes 180 to 359 days delinquent","Dollar Amount of Residential Construction excluding Commercial Purposes 180 to 359 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_022P","Amount of Delinquent Nonmember Business Loans (6 to <12 Months)","Amount of Nonmember Business Loans- 6-12 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_022P1","Amount of Nonmember Business Secured By Real Estate Delinquent 180 to 359 days","Amount of Nonmember Business Secured By Real Estate Delinquent 180 to 359 days","FS220I",0,0,0,0,0,0,0
"Acct_022P2","Amount of Nonmember Business NOT Secured By Real Estate Delinquent 180 to 359 days","Amount of Nonmember Business NOT Secured By Real Estate Delinquent 180 to 359 days","FS220I",0,0,0,0,0,0,0
"Acct_022P3","Dollar Amount of Nonmember Commercial Secured By Real Estate Delinquent 180 to 359 days","Dollar Amount of Nonmember Commercial Secured By Real Estate Delinquent 180 to 359 days","FS220L",0,0,0,0,0,0,0
"Acct_022P4","Dollar Amount of Nonmember Commercial NOT Secured By Real Estate Delinquent 180 to 359 days","Dollar Amount of Nonmember Commercial NOT Secured By Real Estate Delinquent 180 to 359 days","FS220L",0,0,0,0,0,0,0
"Acct_022Q","Amount of Delinquent Bus. Const & Dev. Loans (6 to <12 Months)","Amount of Business Construction & Development Loans- 6-12 months delinquent","FS220G",0,0,0,0,0,0,0
"Acct_022Q1","Dollar Amount of Commercial Construction & Development Loans 180 to 359 days delinquent","Dollar Amount of Commercial Construction & Development Loans 180 to 359 days delinquent","FS220L",0,0,0,0,0,0,0
"Acct_022R","Amount of Modified Consumer Loans NOT Secured by Real Estate Loans  - 6 month to less than 12 months delinquent","Amount of Modifed Consumer Loans NOT Secured by Real Estate 6 months to less than 12 months delinquent","FS220H",0,0,0,0,0,0,0
"Acct_022S","Amount of Modified Business Loans NOT Secured by Real Estate Loans  - 6 month to less than 12 months delinquent","Amount of Modified Business Loans NOT Secured by Real Estate 6 months to less than 12 months delinquent","FS220H",0,0,0,0,0,0,0
"Acct_022T","Amount of Non-Federally Guaranteed Student Loans - 6 to <12 months ","Amount of Non-Federally Guaranteed Student Loans - 6 to <12 months ","FS220H",0,0,0,0,0,0,0
"Acct_022U","Amount of TDR Loans secured by First Mortgages 6 to < 12 months delinquent","Amount of TDR Loans secured by First Mortgages 6 to < 12 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_022V","Amount of TDR Loans secured by Other RE LOCs 6 to < 12 months delinquent","Amount of TDR Loans secured by Other RE LOCs  6 to < 12 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_022W","Amount of TDR RE Loans also reported as business loans 6 to < 12 months delinquent","Amount of TDR RE Loans also reported as business loans 6 to < 12 months delinquent","FS220I",0,0,0,0,0,0,0
"Acct_022W1","Dollar Amount of TDR RE Loans also reported as commercial loans 180 to 359 days delinquent","Dollar Amount of TDR RE Loans also reported as commercial loans 180 to 359 days delinquent","FS220L",0,0,0,0,0,0,0
