"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
110,6/30/2019 0:00:00,59,"ITALO-AMERICAN",4573,7/3/2015 0:00:00,3000,"Other","NCUA","Program Grant"
174,6/30/2019 0:00:00,91,"LOUISIANA",3080,10/26/2012 0:00:00,7500,"Other","NCUA OSCUI Office Small Credit Union Initiatives","Program Grant"
174,6/30/2019 0:00:00,91,"LOUISIANA",3748,3/13/2014 0:00:00,5000,"NCUA Technical Assistance Program",,"Program Grant"
195,6/30/2019 0:00:00,104,"NORTHWEST ARKANSAS",4983,4/2/2015 0:00:00,2247,"Other","NCUA OSCUI","Program Grant"
195,6/30/2019 0:00:00,104,"NORTHWEST ARKANSAS",5147,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,6/30/2019 0:00:00,104,"NORTHWEST ARKANSAS",5445,7/28/2016 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
195,6/30/2019 0:00:00,104,"NORTHWEST ARKANSAS",5703,3/23/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,6/30/2019 0:00:00,104,"NORTHWEST ARKANSAS",5973,8/30/2017 0:00:00,7500,"Other","NCUA OSCUI","Program Grant"
195,6/30/2019 0:00:00,104,"NORTHWEST ARKANSAS",6512,5/22/2018 0:00:00,3000,"Other","Cornerstone Credit Union Foundation","Program Grant"
196,6/30/2019 0:00:00,105,"GTE",4264,9/24/2013 0:00:00,1347000,"Community Development Financial Institutions Fund",,"Subsidy for Risk or ALL"
196,6/30/2019 0:00:00,105,"GTE",5066,9/10/2015 0:00:00,1750000,"Community Development Financial Institutions Fund",,"Program Grant"
196,6/30/2019 0:00:00,105,"GTE",6414,9/19/2017 0:00:00,776500,"Community Development Financial Institutions Fund",,"Program Grant"
196,6/30/2019 0:00:00,105,"GTE",6944,11/1/2018 0:00:00,14350,"Other","NCUA","Program Grant"
234,6/30/2019 0:00:00,125,"PITTSBURGH FIREFIGHTER'S",4430,6/30/2015 0:00:00,3000,"Other","office of small C.U. initatives","Program Grant"
242,6/30/2019 0:00:00,129,"GULF COAST COMMUNITY",3524,9/24/2013 0:00:00,1003730,"Community Development Financial Institutions Fund",,"Program Grant"
242,6/30/2019 0:00:00,129,"GULF COAST COMMUNITY",4831,9/10/2015 0:00:00,2000000,"Community Development Financial Institutions Fund",,"Program Grant"
288,6/30/2019 0:00:00,155,"FARGO VA",4420,4/2/2015 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
327,6/30/2019 0:00:00,179,"UNION PACIFIC CALIFORNIA EMP",5043,3/1/2016 0:00:00,5000,"Association of Credit Union Leagues",,"Program Grant"
352,6/30/2019 0:00:00,188,"TAMPA BAY",6927,10/29/2018 0:00:00,20000,"National Credit Union Foundation",,"Program Grant"
361,6/30/2019 0:00:00,193,"S. C. TELCO",6054,8/30/2017 0:00:00,7500,"Community Development Financial Institutions Fund",,"Program Grant"
370,6/30/2019 0:00:00,201,"PPG & ASSOCIATES",3427,9/5/2013 0:00:00,2700,"Other","Pa Credit Union Foundation","Program Grant"
373,6/30/2019 0:00:00,203,"NEW ALLIANCE",6945,10/31/2018 0:00:00,10000,"National Credit Union Foundation",,"Program Grant"
389,6/30/2019 0:00:00,214,"CINCINNATI OHIO POLICE",3177,3/1/2013 0:00:00,20000,"Association of Credit Union Leagues",,"Program Grant"
389,6/30/2019 0:00:00,214,"CINCINNATI OHIO POLICE",5177,5/19/2016 0:00:00,1495,"Other","Ohio Credit Union League","Program Grant"
389,6/30/2019 0:00:00,214,"CINCINNATI OHIO POLICE",5178,4/21/2016 0:00:00,1407,"Other","Ohio Credit  Union League","Program Grant"
389,6/30/2019 0:00:00,214,"CINCINNATI OHIO POLICE",7080,4/25/2019 0:00:00,1095,"Other","Ohio Credit Union League","Program Grant"
390,6/30/2019 0:00:00,215,"ELLIOTT COMMUNITY",4318,3/9/2015 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",3152,10/23/2012 0:00:00,490,"Other","LA WORKFORCE COMMISION","Not Collected"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",3153,9/14/2012 0:00:00,2875,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",3154,7/31/2012 0:00:00,5625,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",3155,7/27/2012 0:00:00,490,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",4368,2/20/2015 0:00:00,600,"Other","LA WORKFORCE COMMISSION","Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",4957,10/5/2015 0:00:00,1375,"Other","Credit Union Leagues","Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",5201,6/30/2016 0:00:00,400,"Other","Credit Union Leagues","Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",5306,7/26/2016 0:00:00,7500,"Other","NCUA","Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",6091,7/10/2017 0:00:00,1000,"Other","Credit Union Leagues","Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",6285,11/27/2017 0:00:00,25000,"National Credit Union Foundation",,"Program Grant"
404,6/30/2019 0:00:00,222,"GREATER NEW ORLEANS",6286,3/20/2017 0:00:00,5879,"NCUA Technical Assistance Program",,"Program Grant"
422,6/30/2019 0:00:00,229,"PITTSBURGH",5,10/1/2008 0:00:00,1500,"NCUA Technical Assistance Program",,"Not Collected"
422,6/30/2019 0:00:00,229,"PITTSBURGH",1730,12/13/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
422,6/30/2019 0:00:00,229,"PITTSBURGH",3068,7/13/2012 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
430,6/30/2019 0:00:00,232,"DEEPWATER INDUSTRIES",6231,8/30/2017 0:00:00,10000,"National Credit Union Foundation",,"Program Grant"
464,6/30/2019 0:00:00,246,"EAGLE ONE",4225,8/1/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
464,6/30/2019 0:00:00,246,"EAGLE ONE",5318,9/12/2016 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
475,6/30/2019 0:00:00,253,"INTEGRITY",3397,7/23/2013 0:00:00,5000,"Other","OHIO CREDIT UNION LEAGUE FOUNDATION","Pass Through"
475,6/30/2019 0:00:00,253,"INTEGRITY",4150,10/17/2014 0:00:00,1590,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,6/30/2019 0:00:00,253,"INTEGRITY",4151,10/14/2014 0:00:00,2500,"Cuna",,"Pass Through"
475,6/30/2019 0:00:00,253,"INTEGRITY",4421,4/3/2015 0:00:00,8336,"Other","OHIO CREDIT UNION FOUNDATION","Program Grant"
479,6/30/2019 0:00:00,256,"PARKVIEW COMMUNITY",3743,8/27/2013 0:00:00,5500,"NCUA Technical Assistance Program",,"Program Grant"
479,6/30/2019 0:00:00,256,"PARKVIEW COMMUNITY",4211,8/1/2014 0:00:00,5500,"NCUA Technical Assistance Program",,"Program Grant"
479,6/30/2019 0:00:00,256,"PARKVIEW COMMUNITY",4212,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
567,6/30/2019 0:00:00,291,"AMBRAW",3151,11/21/2012 0:00:00,400,"Association of Credit Union Leagues",,"Program Grant"
577,6/30/2019 0:00:00,293,"MEMBER PREFERRED",865,6/30/2009 0:00:00,1000,"Association of Credit Union Leagues",,"Not Collected"
613,6/30/2019 0:00:00,311,"EMPIRE ONE",4682,4/30/2015 0:00:00,750,"New York State Credit Union Foundation",,"Program Grant"
613,6/30/2019 0:00:00,311,"EMPIRE ONE",4683,4/28/2015 0:00:00,500,"Cuna",,"Program Grant"
616,6/30/2019 0:00:00,314,"NEW HORIZON",4666,8/3/2015 0:00:00,10000,"Other","OSCUI","Program Grant"
616,6/30/2019 0:00:00,314,"NEW HORIZON",5943,9/19/2017 0:00:00,776500,"Community Development Financial Institutions Fund",,"Subsidy for Risk or ALL"
616,6/30/2019 0:00:00,314,"NEW HORIZON",6196,11/27/2017 0:00:00,25000,"National Credit Union Foundation",,"Program Grant"
644,6/30/2019 0:00:00,330,"TRAILHEAD",4673,7/28/2015 0:00:00,10000,"National Credit Union Foundation",,"Pass Through"
644,6/30/2019 0:00:00,330,"TRAILHEAD",5376,7/25/2016 0:00:00,7000,"National Credit Union Foundation",,"Pass Through"
644,6/30/2019 0:00:00,330,"TRAILHEAD",5882,2/25/2017 0:00:00,811000,"Community Development Financial Institutions Fund",,"Program Grant"
644,6/30/2019 0:00:00,330,"TRAILHEAD",6774,10/29/2018 0:00:00,8000,"Community Development Financial Institutions Fund",,"Pass Through"
644,6/30/2019 0:00:00,330,"TRAILHEAD",7049,2/25/2018 0:00:00,150000,"Community Development Financial Institutions Fund",,"Program Grant"
665,6/30/2019 0:00:00,342,"PENINSULA COMMUNITY",3327,5/3/2013 0:00:00,10700,"Other","Northwest Credit Union Foundation","Program Grant"
665,6/30/2019 0:00:00,342,"PENINSULA COMMUNITY",5048,3/31/2016 0:00:00,2000000,"Community Development Financial Institutions Fund",,"Capital- unrestricted donation to equity"
665,6/30/2019 0:00:00,342,"PENINSULA COMMUNITY",5228,3/9/2016 0:00:00,10000,"Other","Express Advantage CU/Northwest Area Foundation","Program Grant"
665,6/30/2019 0:00:00,342,"PENINSULA COMMUNITY",6868,12/26/2018 0:00:00,20000,"Other","Northwest Credit Union Foundation","Program Grant"
776,6/30/2019 0:00:00,381,"ERIE TIMES",12,1/15/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
776,6/30/2019 0:00:00,381,"ERIE TIMES",3401,8/23/2013 0:00:00,5000,"Association of Credit Union Leagues",,"Program Grant"
830,6/30/2019 0:00:00,407,"LINCOLN NATIONAL",6900,1/4/2019 0:00:00,800,"Other","Carolina Credit Union Foundation","Program Grant"
831,6/30/2019 0:00:00,408,"FIRST COAST",5503,8/3/2016 0:00:00,10000,"Other","NCUA OSCU","Program Grant"
831,6/30/2019 0:00:00,408,"FIRST COAST",5958,8/30/2017 0:00:00,7500,"Other","NCUA","Program Grant"
838,6/30/2019 0:00:00,413,"APS",594,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
841,6/30/2019 0:00:00,416,"ALLEGHENY CENTRAL",2018,8/15/2012 0:00:00,13877,"NCUA Technical Assistance Program",,"Not Collected"
841,6/30/2019 0:00:00,416,"ALLEGHENY CENTRAL",2019,5/1/2012 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
851,6/30/2019 0:00:00,421,"CHELSEA EMPLOYEES",3994,8/1/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
856,6/30/2019 0:00:00,425,"MOUNTAIN STAR",5427,7/25/2016 0:00:00,15000,"Other","The Office of Small Credit Union Initiatives NCUA","Program Grant"
856,6/30/2019 0:00:00,425,"MOUNTAIN STAR",5614,10/19/2016 0:00:00,2000,"Other","Cornerstone Credit Union League","Program Grant"
856,6/30/2019 0:00:00,425,"MOUNTAIN STAR",5615,10/10/2016 0:00:00,7000,"Other","Cornerstone Credit Union Foundation","Program Grant"
856,6/30/2019 0:00:00,425,"MOUNTAIN STAR",6506,5/24/2018 0:00:00,916905,"Community Development Financial Institutions Fund",,"Capital- unrestricted donation to equity"
856,6/30/2019 0:00:00,425,"MOUNTAIN STAR",6507,5/22/2018 0:00:00,1750,"Other","Cornerstone Credit Union Foundation","Program Grant"
900,6/30/2019 0:00:00,451,"AMBRIDGE AREA",13,10/15/2008 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
946,6/30/2019 0:00:00,475,"MUSKOGEE",5197,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,6/30/2019 0:00:00,475,"MUSKOGEE",5697,3/23/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,6/30/2019 0:00:00,475,"MUSKOGEE",5892,4/25/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,6/30/2019 0:00:00,475,"MUSKOGEE",6888,11/21/2018 0:00:00,3000,"Other","Conerstone Credit Union Foundation","Pass Through"
948,6/30/2019 0:00:00,476,"NUSENDA",7187,9/30/2018 0:00:00,250000,"Other","US Small Business Association","Program Grant"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",494,11/1/2006 0:00:00,3500,"NCUA Technical Assistance Program",,"Not Collected"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",495,6/30/2011 0:00:00,1344,"Association of Credit Union Leagues",,"Not Collected"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",3285,5/30/2013 0:00:00,4000,"Other","NCUA","Not Collected"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",3455,9/13/2013 0:00:00,2696,"Other","Office of Small Credit Union Initiatives","Program Grant"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",4097,8/1/2014 0:00:00,750,"Other","Northwest Credit Union Association","Pass Through"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",4098,8/1/2014 0:00:00,6000,"Other","NCUA RDC","Program Grant"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",4657,7/31/2015 0:00:00,5500,"Other","OSCUI","Pass Through"
960,6/30/2019 0:00:00,482,"PACIFIC CREST",4898,7/21/2015 0:00:00,849,"National Credit Union Foundation",,"Pass Through"
967,6/30/2019 0:00:00,486,"GOLD COAST",3322,5/6/2013 0:00:00,2850,"Other","Office of Small Credit Union Initiatives","Program Grant"
986,6/30/2019 0:00:00,494,"URE",595,1/12/2010 0:00:00,3000,"Other","PA Credit Union Foundation  (Web Site Grant)","Program Grant"
1034,6/30/2019 0:00:00,521,"OLIVE VIEW EMPLOYEES",5999,8/30/2017 0:00:00,7500,"National Credit Union Foundation",,"Program Grant"
1068,6/30/2019 0:00:00,532,"COMPASS FINANCIAL",5884,4/10/2017 0:00:00,7000,"NCUA Technical Assistance Program",,"Program Grant"
1101,6/30/2019 0:00:00,549,"CARNEGIE MELLON UNIVERSITY",4452,6/4/2015 0:00:00,5000,"Other","PA Credit Union Foundation","Program Grant"
1101,6/30/2019 0:00:00,549,"CARNEGIE MELLON UNIVERSITY",4453,4/2/2015 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
1104,6/30/2019 0:00:00,551,"EMBARK",4524,8/1/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1104,6/30/2019 0:00:00,551,"EMBARK",4723,8/5/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1104,6/30/2019 0:00:00,551,"EMBARK",5027,3/5/2016 0:00:00,3116,"Other","OSCUI Grant Program","Program Grant"
1104,6/30/2019 0:00:00,551,"EMBARK",6065,9/5/2017 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1104,6/30/2019 0:00:00,551,"EMBARK",6689,5/31/2018 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1104,6/30/2019 0:00:00,551,"EMBARK",7063,1/16/2019 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
1111,6/30/2019 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",19,1/1/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
1111,6/30/2019 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",3092,11/15/2012 0:00:00,650,"Association of Credit Union Leagues",,"Not Collected"
1111,6/30/2019 0:00:00,554,"LOCOMOTIVE & CONTROL EMPLOYEES",3176,1/23/2013 0:00:00,5000,"Association of Credit Union Leagues",,"Not Collected"
1113,6/30/2019 0:00:00,555,"CORRECTIONAL WORKERS",4017,7/28/2014 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1113,6/30/2019 0:00:00,555,"CORRECTIONAL WORKERS",4733,9/4/2015 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1113,6/30/2019 0:00:00,555,"CORRECTIONAL WORKERS",6189,12/6/2017 0:00:00,1250,"Other","Cornerstone Credit Union League","Program Grant"
1113,6/30/2019 0:00:00,555,"CORRECTIONAL WORKERS",6449,6/4/2018 0:00:00,1250,"Other","CORNERSTONE CREDIT UNION FOUNDATION","Program Grant"
1113,6/30/2019 0:00:00,555,"CORRECTIONAL WORKERS",7119,5/31/2019 0:00:00,3200,"Other","CORNERSTONE CREDIT UNION FOUNDATION","Program Grant"
1117,6/30/2019 0:00:00,557,"WIDGET",6784,11/13/2018 0:00:00,10000,"Community Development Financial Institutions Fund",,"Program Grant"
1129,6/30/2019 0:00:00,563,"MOPAC EMPLOYEES",9,11/15/2012 0:00:00,1000,"Other","TCUL","Program Grant"
1129,6/30/2019 0:00:00,563,"MOPAC EMPLOYEES",4317,12/1/2014 0:00:00,1000,"Other","Cornerstone","Program Grant"
1129,6/30/2019 0:00:00,563,"MOPAC EMPLOYEES",4441,6/29/2015 0:00:00,500,"Association of Credit Union Leagues",,"Program Grant"
1129,6/30/2019 0:00:00,563,"MOPAC EMPLOYEES",4442,6/29/2015 0:00:00,1500,"Association of Credit Union Leagues",,"Program Grant"
1130,6/30/2019 0:00:00,564,"LONGVIEW",3715,1/20/2014 0:00:00,2750,"Other","Cornerstone Credit Union League","Program Grant"
1245,6/30/2019 0:00:00,619,"PINE BLUFF COTTON BELT",6154,5/1/2017 0:00:00,1500,"Association of Credit Union Leagues",,"Program Grant"
1245,6/30/2019 0:00:00,619,"PINE BLUFF COTTON BELT",6319,10/11/2017 0:00:00,1500,"Association of Credit Union Leagues",,"Program Grant"
1245,6/30/2019 0:00:00,619,"PINE BLUFF COTTON BELT",6498,5/18/2018 0:00:00,3000,"Association of Credit Union Leagues",,"Program Grant"
1245,6/30/2019 0:00:00,619,"PINE BLUFF COTTON BELT",7215,5/31/2019 0:00:00,320000,"Association of Credit Union Leagues",,"Program Grant"
1250,6/30/2019 0:00:00,621,"HAMPTON VA",3473,8/27/2013 0:00:00,2900,"Other","NCUA OSCUI","Program Grant"
1250,6/30/2019 0:00:00,621,"HAMPTON VA",4528,4/2/2015 0:00:00,3240,"Other","NCUA OSCUI","Program Grant"
1250,6/30/2019 0:00:00,621,"HAMPTON VA",6126,8/30/2017 0:00:00,3000,"Other","NCUA OSCUI","Program Grant"
1261,6/30/2019 0:00:00,625,"LANGLEY",21,6/25/2009 0:00:00,57686,"Enterprise Grant Program",,"Not Collected"
1261,6/30/2019 0:00:00,625,"LANGLEY",987,6/30/2012 0:00:00,100000,"Enterprise Grant Program",,"Not Collected"
1261,6/30/2019 0:00:00,625,"LANGLEY",3855,6/20/2014 0:00:00,164817,"Enterprise Grant Program",,"Program Grant"
1261,6/30/2019 0:00:00,625,"LANGLEY",3856,6/20/2014 0:00:00,1500,"Other","Armed Forces Financial Network","Pass Through"
1261,6/30/2019 0:00:00,625,"LANGLEY",5852,6/29/2017 0:00:00,73680,"Enterprise Grant Program",,"Program Grant"
1261,6/30/2019 0:00:00,625,"LANGLEY",6831,12/12/2018 0:00:00,5000,"Other","FHLB","Pass Through"
1282,6/30/2019 0:00:00,635,"RICHMOND HERITAGE",6034,8/30/2017 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1316,6/30/2019 0:00:00,652,"TALLAHASSEE-LEON",5356,9/27/2016 0:00:00,1768250,"Community Development Financial Institutions Fund",,"Program Grant"
1316,6/30/2019 0:00:00,652,"TALLAHASSEE-LEON",7206,5/22/2019 0:00:00,306700,"Other","Community Development Revolving Loan Fund (CDRLF)","Program Grant"
1317,6/30/2019 0:00:00,653,"REDIFORM NIAGARA FALLS NY",6238,10/16/2017 0:00:00,2500,"New York State Credit Union Foundation",,"Program Grant"
1317,6/30/2019 0:00:00,653,"REDIFORM NIAGARA FALLS NY",6996,3/5/2019 0:00:00,3000,"New York State Credit Union Foundation",,"Program Grant"
1317,6/30/2019 0:00:00,653,"REDIFORM NIAGARA FALLS NY",7123,5/15/2019 0:00:00,199,"New York State Credit Union Foundation",,"Program Grant"
1364,6/30/2019 0:00:00,676,"U S #1364",6823,10/29/2018 0:00:00,10000,"Other","CDRLF","Program Grant"
1367,6/30/2019 0:00:00,677,"UNIVERSITY",5743,1/31/2017 0:00:00,18000,"Other","Center for Financial Services Innovation","Program Grant"
1368,6/30/2019 0:00:00,678,"PASADENA SERVICE",5374,7/25/2016 0:00:00,7000,"Other","Office of Small Credit Union Initiatives","Pass Through"
1368,6/30/2019 0:00:00,678,"PASADENA SERVICE",6876,10/29/2018 0:00:00,10000,"Other","Office of CU Resources and Expansion","Pass Through"
1407,6/30/2019 0:00:00,694,"DEMOCRACY",5205,5/2/2016 0:00:00,7500,"Other","NCUA Office of Small CU Initiatives","Program Grant"
1409,6/30/2019 0:00:00,695,"EL PASO AREA TEACHERS",4722,7/29/2015 0:00:00,24000,"Other","OSCUI","Program Grant"
1499,6/30/2019 0:00:00,735,"PUEBLO GOVERNMENT AGENCIES",5844,7/25/2016 0:00:00,15000,"Other","NCUA@cybergants","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",10,5/25/2012 0:00:00,2300,"Association of Credit Union Leagues",,"Not Collected"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",3195,2/21/2013 0:00:00,2000,"Association of Credit Union Leagues",,"Not Collected"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",3680,2/20/2014 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",4291,2/19/2015 0:00:00,1500,"Other","Cornerstone Credit Union League","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",5004,4/4/2016 0:00:00,1250,"Other","Cornerstone Credit Union League","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",5647,3/23/2017 0:00:00,1250,"Other","Cornerstone Credit Union Foundation","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",6441,5/22/2018 0:00:00,2250,"Other","Cornerstone Credit Union Foundation","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",6442,10/26/2017 0:00:00,1000,"Other","Cornerstone Credit Union Foundation","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",6443,10/20/2016 0:00:00,1250,"Other","Cornerstone Credit Union Foundation","Program Grant"
1524,6/30/2019 0:00:00,744,"KILGORE SHELL EMPLOYEES",7089,6/7/2019 0:00:00,3200,"Other","Cornerstone Credit Union Foundation","Program Grant"
1558,6/30/2019 0:00:00,761,"KERR COUNTY",11,9/16/2010 0:00:00,750000,"Community Development Financial Institutions Fund",,"Capital- unrestricted donation to equity"
1558,6/30/2019 0:00:00,761,"KERR COUNTY",2758,9/15/2012 0:00:00,1084087,"Community Development Financial Institutions Fund",,"Capital- unrestricted donation to equity"
1558,6/30/2019 0:00:00,761,"KERR COUNTY",6327,8/30/2017 0:00:00,8500,"NCUA Technical Assistance Program",,"Program Grant"
1607,6/30/2019 0:00:00,784,"BIG ISLAND",497,1/13/2012 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
1607,6/30/2019 0:00:00,784,"BIG ISLAND",3583,8/27/2013 0:00:00,8000,"NCUA Technical Assistance Program",,"Program Grant"
1607,6/30/2019 0:00:00,784,"BIG ISLAND",6242,8/30/2017 0:00:00,3391,"NCUA Technical Assistance Program",,"Program Grant"
