 ,NAME,COL REF,BRANCH   INSTITUTION  HOLDING CO,ACTION,DEFINITIONS
51,NECTABR,AB,BR,NEW,Code of the New England City Town Areas based on the PLACENUM.
52,OCCDIST,BT,INST,NC,"A number used to identify the Comptroller of the Currency district in which the institution is located; 01-Northeast, 03 Central, 04 Western and 05 Southern."
53,OCCNAME,BU,INST,NC,"The name associated with the Comptroller of the Currency district in which the institution is located; 01-Northeast, 03 Central, 04 Western and 05 Southern."
54,PLACENUM,AD,BR,NC,"The FIPS MCD (Minor Civil Division) code refers to a subsection of the U.S. Census county subdivision statistics. The county subdivision FIPS includes census data for county divisions, census subareas, minor civil divisions, unorganized territories, and incorporated areas. "
55,REGAGNT,BV,INST,NC,"The primary regulatory agency of the institution
FED   - FEDERAL RESERVE
FDIC  - FEDERAL DEPOSIT INSURANCE CORPORATION
OCC   - COMPTROLLER OF THE CURRENCY
OTS   - OFFICE OF THRIFT SUPERVISION
NCUA  - NATIONAL CREDIT UNION ASSOCIATION
STATE - STATE REGULATED"
56,RSSDHCR,AO,HCR,NC,The unique number assigned by the Federal Reserve Board (FRB) to the top regulatory bank holding company.
57,RSSDID,AS,INST,NC,The unique number assigned by the Federal Reserve Board (FRB) to the institution.
58,SIMS_Acquired Date,AE,BR,NEW,The date that a branch was last acquired by another institution
59,SIMS_Description,AI,BR,NEW,The quality of the match of the branch's physical location to a latitude and longitude with a given projection.
60,SIMS_Established Date,AF,BR,NEW,The date that the branch location was established.
61,SIMS_Latititude,AG,BR,REPOPULATED,The lattitude of the branch's physical location.
62,SIMS_Longitude,AH,BR,REPOPULATED,The longitude of the branch's physical location
63,SIMS_Projection,AJ,BR,NEW,The method used to arrive at the latitude and longitude of the branch's physical location.
64,SPECDESC,BX,INST,NC,"The description of a mutually exclusive industry classification grouping which indicates the institution’s primary asset specialization.
. = NOT AVAILABLE
0 = NO SPECIALIZATION GROUP
1 = INTERNATIONAL SPECIALIZATION
2 = AGRICULTURAL  SPECIALIZATION
3 = CREDIT-CARD   SPECIALIZATION
4 = COMMERCIAL LENDING SPECIALIZATION
5 = MORTGAGE LENDING SPECIALIZATION
6 = CONSUMER LENDING SPECIALIZATION
7 = OTHER SPECIALIZED UNDER 1 BILLION
8 = ALL OTHER UNDER 1 BILLION
9 = ALL OTHER OVER 1 BILLION"
65,SPECGRP,BW,INST,NC,A mutually exclusive industry classification grouping which indicates the institution’s primary asset specialization. (see SPECDESC above)
66,STALP,AW,INST,NC,The state abbreviation of the location of the institution's headquarters.
67,STALPBR,I,BR,NC,The state abbreviation of the location in which the branch is physically located.
68,STALPHCR,AR,HCR,NC,The state abbreviation of the headquarters of the top regulatory bank holding company.
69,STCNTY,BY,INST,NC,The state and county FIPS code associated with the headquarters location of the institution.
70,STCNTYBR,AK,BR,NC,The state and county FIPS code associated with the specific branch location.
71,STNAME,BZ,INST,NC,The state name of the location of the institution's headquarters.
72,STNAMEBR,AL,BR,NC,The state name where branch is physically located.
73,STNUMBR,AM,BR,NC,The FIPS number of the state in which the branch is physically located.
74,UNINUMBR,D,BR,NC,"The unique number associated with a specific physical location of a branch.  This number remains with this location over time, regardless of ownership."
75,UNIT,AT,INST,NC,A flag that identifies an institution with only a main office location; no branch locations.
76,USA,CA,INST,NC,A flag that identifies that the institution is headquartered in the United States.
77,YEAR,A,BR,RENAMED,Year of survey (1994 - Current). All SOD surveys are annual as of June 30.
78,ZIP,AX,INST,NC,The ZIP code associated with the physical address of the institution's headquarters.
79,ZIPBR,J,BR,NC,The ZIP code associated with the physical address of the branch.
