"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CEO","Fax","Phone","Preparer","President","Principal","ACCT_876","ACCT_830A","ACCT_830B","ACCT_830C","ACCT_830D","ACCT_830E","ACCT_830F","ACCT_830G","ACCT_830H","ACCT_830I","ACCT_830J","CEO_F","CEO_M","Preparer_F","Preparer_M","President_F","President_M","Principal_F","Principal_M","Acct_891","ACCT_893","ACCT_894","Acct_700","Acct_701","Acct_886A","Acct_886B","Acct_886C","Acct_886D","Acct_886E","Acct_886F","Acct_886G","Acct_887A","Acct_887B","Acct_887C","Acct_887D","Acct_887E","Acct_887F","Acct_887G","Acct_887H","Acct_887I","Acct_887J","Acct_887K","Acct_887L","Acct_889","Acct_711","Acct_887M","Acct_887N","Acct_887P","Acct_887Z","Acct_842","Acct_843","ACCT_830K","ACCT_830L","ACCT_830M","ACCT_830N","ACCT_830O","ACCT_830P","ACCT_830Q","ACCT_830R","ACCT_830S","ACCT_830T","ACCT_566A","CertifiedBy","CertifiedBy_F","CertifiedBy_M","Acct_879A","Acct_879B","Acct_879C","Acct_879D","Acct_879E","Acct_879F","Acct_879G","Acct_879H","Acct_879I","Acct_879J","Acct_879K","Acct_879L","Acct_879M","Acct_879N","Acct_879O","Acct_879P","Acct_879Q","Acct_879R","Acct_879S","Acct_879T","Acct_888","Extension","Acct_834A1","Acct_834B1","Acct_834C1","Acct_834D1","Acct_834E1","Acct_834F1","Acct_834G1","Acct_834H1","Acct_834I1","Acct_834J1","Acct_834K1","Acct_834L1","Acct_834M1","Acct_834N1","Acct_834O1","Acct_834P1","Acct_834Q1","Acct_834R1","Acct_834S1","Acct_834T1","Acct_566B","Acct_887R","ACCT_879A1","ACCT_879A2","ACCT_879A3","ACCT_879A4","ACCT_879A5","ACCT_879B1","ACCT_879B2","ACCT_879B3","ACCT_879B4","ACCT_879B5","ACCT_879C1","ACCT_879C2","ACCT_879C3","ACCT_879C4","ACCT_879D1","ACCT_879D2","ACCT_879D3","ACCT_879D4","ACCT_879D5","ACCT_879D6","ACCT_879D7","ACCT_879D8","ACCT_879U","ACCT_879V","ACCT_879W","ACCT_879X","ACCT_879Y","ACCT_886H","ACCT_887S","ACCT_887T","ACCT_887U","ACCT_845A","ACCT_845B","ACCT_845C","ACCT_845D","ACCT_845E","ACCT_845F","ACCT_845G","ACCT_845H","ACCT_845I","ACCT_845J","ACCT_845K","ACCT_845L","ACCT_845M","ACCT_845N","ACCT_845O","ACCT_845P","ACCT_845Q","ACCT_845R","ACCT_845S","ACCT_845T","ACCT_879D9","Acct_855A","Acct_855B","Acct_855C","Acct_855D","Acct_855E","Acct_855F","Acct_855G","Acct_855H","Acct_855I","Acct_855J","Acct_855K","Acct_855L","Acct_855M","Acct_855N","Acct_855O","Acct_855P","Acct_855Q","Acct_855R","Acct_855S","Acct_855T","BondProvider","MemberMinorityStatus","EligibleMinorityStatus","MemberAsianAmerican","MemberAfricanAmerican","MemberHispanicAmerican","MemberNativeAmerican","EligibleAsianAmerican","EligibleAfricanAmerican","EligibleHispanicAmerican","EligibleNativeAmerican","Acct_887V","Acct_879Q1","Acct_1027Z","Acct_1028Z","Acct_1029Z"
42,6/30/2019 0:00:00,29,"Sacco","2037566886","2037539201","Sacco","DelBuono",,"",,,,,,,,,,,"David",,"David",,"Joseph",,,,"http://www.fdcommunityfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Sacco","David",,"0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Berkley Regional Insurance Company","0","0","0","0","0","0","0","0","0","0","0","0",,,
47,6/30/2019 0:00:00,30,"Gagelin","7012414963","7013650480","Krogen","Volrath",,"",,,,,,,,,,,"Mari",,"Kelsey",,"Karla",,,,"http://www.fpsfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Krogen","Kelsey",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","1",,,
48,6/30/2019 0:00:00,31,"Nelson","6013552567","6013556363","Nelson","Hankins",,"",,,,,,,,,,,"Katie",,"Katie",,"Jim",,,,"http://www.eagleexpressfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","0","0","0",,"0","1","1","0",,,,,,,,,,,,,"1","Nelson","Katie",,"0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
51,6/30/2019 0:00:00,32,"Castellana","5184645227","5184645331","DiBona","Rock",,"",,,,,,,,,,,"Michael","J","Valerie",,"Ron",,,,"http://www.sefcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","DiBona","Valerie",,"1","1","1","1","1","0","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
53,6/30/2019 0:00:00,33,"Greenwood","9088626961","9088626966","Stewart","Grozinski",,"",,,,,,,,,,,"Michael",,"Mark",,"Marty",,,,"http://www.motionfcu.org",,,"Adequately Capitalized","Adequately Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Stewart","Mark",,"0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
60,6/30/2019 0:00:00,35,"Sommerfeld",,"6053342471","DeBoer","Van Noort",,"",,,,,,,,,,,"Fran",,"Brenda",,"Roger",,,,"http://www.siouxfallsfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","DeBoer","Brenda",,"1","1","1","1","1","0","1","1","0","0","0","0","1","0","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
62,6/30/2019 0:00:00,36,"Farnschlader","6104391323","6104394102","Speicher","Crum",,"",,,,,,,,,,,"Albert","F","Karen",,"Darryl","K",,,"http://www.firstclass.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Speicher","Karen",,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
75,6/30/2019 0:00:00,40,"PAOLICELLI","7187863991","7187863991","GURRIERI","URQUHART",,"",,,,,,,,,,,"COLLEEN","A","JAMES",,"DANIEL",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","GURRIERI","JAMES",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
77,6/30/2019 0:00:00,41,"Kasten","6053366529","6053361047","Kasten","Buchholz",,"",,,,,,,,,,,"Travis","J","Travis",,"Morris",,,,"http://www.servicefirstfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","1","0",,"1","1","1","0",,,,,,,,,,,,,"0","Kasten","Travis",,"1","1","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","1","1","0","1","1","1","1","0","1","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","1",,,
79,6/30/2019 0:00:00,43,"Verret",,"2257698841","Drummond","Favaloro",,"",,,,,,,,,,,"Jane",,"Britt",,"Paul",,,,"https://www.campusfederal.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0",,"0","1","1","0",,,,,,,,,,,,,"0","Drummond","Britt",,"1","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","1",,,
82,6/30/2019 0:00:00,46,"CULP","7323803637","7323803600","Walsh","BROTHWELL",,"",,,,,,,,,,,"JOHN",,"Elizabeth",,"HEATHER","E",,,"http://FAFCU.COM",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","1","0",,,,,,,,,,,,,"0","Walsh","Elizabeth",,"1","1","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
90,6/30/2019 0:00:00,49,"REBER, SR.","7248992500","4122631450","REBER","OPPENLANDER",,"",,,,,,,,,,,"DAVID","J","DAVID",,"CHARLES","E",,,"http://WWW.POSTGAZETTEFCU.ORG",,,"Well Capitalized","Well Capitalized","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","REBER","DAVID",,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
98,6/30/2019 0:00:00,54,"Stanisz","7162855580","7162855569","Travis","Ingrasci",,"",,,,,,,,,,,"Dawn","R","Lori",,"James",,,,"http://www.nftfcu.org",,,"Well Capitalized","Well Capitalized","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Travis","Lori",,"0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
107,6/30/2019 0:00:00,57,"DAVIDSON","5403872854","5403875267","Davidson","SWEENEY",,"",,,,,,,,,,,"ALLAN",,"Allan",,"CAROL",,,,"http://WWW.KEMBAFCU.ORG",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","Davidson","Allan",,"1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","0","0",,,
108,6/30/2019 0:00:00,58,"Heck","3047685899","3047685700","hamer","Turley",,"",,,,,,,,,,,"Joetta","S","Peggy",,"Ronald","E",,,"http://KEMBACHARLESTONFCU.ORG",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","1","1","1","0","0",,"0","1","0","0",,,,,,,,,,,,,"0","hamer","Peggy",,"0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","12",,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
