Fips State,Fips County,State,County Name,
47,153,TN,Sequatchie County,
47,159,TN,Smith County,
47,161,TN,Stewart County,
47,163,TN,Sullivan County,
47,169,TN,Trousdale County,
47,171,TN,Unicoi County,
47,173,TN,Union County,
47,175,TN,Van Buren County,
47,179,TN,Washington County,
47,181,TN,Wayne County,
47,183,TN,Weakley County,
47,185,TN,White County,
48,7,TX,Aransas County,
48,13,TX,Atascosa County,
48,19,TX,Bandera County,
48,37,TX,Bowie County,
48,41,TX,Brazos County,
48,47,TX,Brooks County,
48,55,TX,Caldwell County,
48,59,TX,Callahan County,
48,61,TX,Cameron County,
48,69,TX,Castro County,
48,83,TX,Coleman County,
48,95,TX,Concho County,
48,99,TX,Coryell County,
48,101,TX,Cottle County,
48,107,TX,Crosby County,
48,109,TX,Culberson County,
48,113,TX,Dallas County,
48,125,TX,Dickens County,
48,127,TX,Dimmit County,
48,131,TX,Duval County,
48,133,TX,Eastland County,
48,137,TX,Edwards County,
48,141,TX,El Paso County,
48,145,TX,Falls County,
48,155,TX,Foard County,
48,163,TX,Frio County,
48,183,TX,Gregg County,
48,191,TX,Hall County,
48,195,TX,Hansford County,
48,197,TX,Hardeman County,
48,203,TX,Harrison County,
48,215,TX,Hidalgo County,
48,225,TX,Houston County,
48,229,TX,Hudspeth County,
48,231,TX,Hunt County,
48,235,TX,Irion County,
48,245,TX,Jefferson County,
48,247,TX,Jim Hogg County,
48,253,TX,Jones County,
48,261,TX,Kenedy County,
48,271,TX,Kinney County,
48,273,TX,Kleberg County,
48,279,TX,Lamb County,
48,283,TX,La Salle County,
48,291,TX,Liberty County,
48,297,TX,Live Oak County,
48,303,TX,Lubbock County,
48,305,TX,Lynn County,
48,307,TX,McCulloch County,
48,309,TX,McLennan County,
48,311,TX,McMullen County,
48,315,TX,Marion County,
48,317,TX,Martin County,
48,323,TX,Maverick County,
48,327,TX,Menard County,
48,347,TX,Nacogdoches County,
48,351,TX,Newton County,
48,355,TX,Nueces County,
48,373,TX,Polk County,
48,375,TX,Potter County,
48,377,TX,Presidio County,
48,385,TX,Real County,
48,387,TX,Red River County,
48,389,TX,Reeves County,
48,391,TX,Refugio County,
48,395,TX,Robertson County,
48,401,TX,Rusk County,
48,403,TX,Sabine County,
48,405,TX,San Augustine County,
48,409,TX,San Patricio County,
48,419,TX,Shelby County,
48,427,TX,Starr County,
48,441,TX,Taylor County,
48,443,TX,Terrell County,
48,451,TX,Tom Green County,
48,455,TX,Trinity County,
48,463,TX,Uvalde County,
48,465,TX,Val Verde County,
48,473,TX,Waller County,
48,479,TX,Webb County,
48,485,TX,Wichita County,
48,489,TX,Willacy County,
48,505,TX,Zapata County,
48,507,TX,Zavala County,
49,5,UT,Cache County,
49,21,UT,Iron County,
49,23,UT,Juab County,
49,31,UT,Piute County,
49,37,UT,San Juan County,
49,39,UT,Sanpete County,
49,49,UT,Utah County,
49,53,UT,Washington County,
50,9,VT,Essex County,
51,9,VA,Amherst County,
51,27,VA,Buchanan County,
51,29,VA,Buckingham County,
51,36,VA,Charles City County,
51,43,VA,Clarke County,
51,47,VA,Culpeper County,
51,51,VA,Dickenson County,
51,53,VA,Dinwiddie County,
51,63,VA,Floyd County,
51,71,VA,Giles County,
51,77,VA,Grayson County,
51,89,VA,Henry County,
51,97,VA,King and Queen County,
51,113,VA,Madison County,
51,121,VA,Montgomery County,
51,125,VA,Nelson County,
51,147,VA,Prince Edward County,
51,155,VA,Pulaski County,
51,157,VA,Rappahannock County,
